Date,mkwan,robert,ccusanza,cyu,lwang,darrell,spencer,audrey,scott,dtee,colin,abhi,vanessa,irvin,glen,curtis,mmucklo,slert,monika,vaishali,lucy
3/1/2011,werewolf - won,george,emi,vampire - won,,,,,,,,,,,,,,,,,
3/1/2011,allie,george - won,vampire,,franklin - won,daniel,unknown,,,,,,,,,,,,,,
3/9/2011,vampire - won,werewolf - won,,,allie - won,george,,emi,bob,,,,,,,,,,,,
3/10/2011,allie - won,franklin,george,,charles - won,werewolf,,vampire,daniel,,,,,,,,,,,,
3/11/2011,daniel,emi,charles - won,,vampire,werewolf,franklin,george,,unknown,,,,,,,,,,,
3/17/2011,agnes - won,ultra soul - won,vampire - won,,fu-ka,,,david,,,gregor,,,,,,,,,,
3/22/2011,gregor - won,allie,wight,,catherine,valkyrie,fu-ka - won,vampire,,ellen - won,,,,,,,,,,,
3/23/2011,vampire,ultra soul,fu-ka,,ellen,,allie,bryan - won (alive),werewolf (alive),franklin (alive),,,,,,,,,,,
3/24/2011,ellen - won,fu-ka - won,,,wight,agnes - won,valkyrie,gregor - won (alive),ultra soul,david (alive),,,,,,,,,,,
3/24/2011,wight (alive),unknown,emi,,charles,,bryan - won (alive),ellen (alive),,valkyrie (last),,franklin (alive),,,,,,,,,
3/24/2011,allie,valkyrie,vampire (last),,george - won (alive),,ellen  - won,catherine (alive),,franklin - won (alive),,ultra soul,,,,,,,,,
3/25/2011,unknown (alive),bob (alive),,,franklin (alive),vampire (alive),emi (alive),,,catherine - won (last),,,,,,,,,,,
3/25/2011,valkyrie,werewolf,,,unknown (last),charles,ellen  - won (alive),,emi - won,daniel - won (alive),,,fu-ka - won (alive),,,,,,,,
3/30/2011,daniel,allie,vampire - won,,emi,ultra soul - won (alive),,,wight - won (alive),ellen,,,gregor (last),,,,,,,,
3/31/2011,wight (last),unknown,,,bob (alive),daniel - won (alive),ellen - won,valkyrie,fu-ka - won (alive),gregor - won (alive),,,,allie - won (alive),,,,,,,
4/1/2011,gregor,werewolf - won,fu-ka,,franklin,george,bob,unknown - won (alive),agnes,bryan,wight - won,,,ultra soul - won (alive),,,,,,,
4/8/2011,werewolf,bob (alive),fu-ka - won (alive),,ultra soul (last),charles,,,emi - won (alive),valkyrie,,,george - won (alive),,,,,,,,
4/12/2011,valkyrie (last),wight,ellen - won (alive),,gregor - won (alive),daniel - won (alive),,fu-ka - won (alive),,charles,,,,,unknown,,,,,,
4/14/2011,gregor - won (alive),vampire (last),werewolf,,fu-ka - won,,,,ultra soul,daniel,,,,bryan,,ellen - won (alive),,,,,
4/15/2011,vampire (last),allie - won (alive),franklin - won (alive),,george - won (alive),catherine,werewolf,,,emi - won (alive),,,,,ultra soul,,,,,,
4/15/2011,gregor (alive),ultra soul (alive),agnes (alive),,ellen (alive),,valkyrie (alive),,catherine - won,franklin (alive),,,,werewolf (alive),,,,,,,
4/15/2011,charles - won (alive),vampire (alive),wight (last),,fu-ka (alive),,george,,ellen,unknown,,,,agnes,,,,,,,
4/19/2011,,david,unknown,,,george - won,ellen - won,,daniel - won (alive),franklin (alive),wight (last),,,,vampire,,,,,,
4/20/2011,bob (alive),emi,wight - won (alive),,george (last),,,,david,werewolf - won (alive),,,agnes,,,,,,,,
4/21/2011,werewolf - won,fu-ka,catherine - won (alive),,wight - won (alive),,,charles,agnes (last),,,,,,ellen (last),,,,,,
4/22/2011,,bryan (alive),valkyrie - won,,gregor (last),werewolf - won,ultra soul - won (alive),allie - won (alive),agnes - won,bob,emi,,,,franklin,,,,,,
4/22/2011,,gregor (alive),,,daniel (alive),,,bob (alive),vampire (alive),wight (alive),,,,,,,ellen (alive),catherine - won (last),,,
4/22/2011,,daniel - won (alive),,,wight,,,allie,bob,gregor - won (alive),,,,,,,unknown (last),ellen - won  (alive),,,
,,,,,,,,,,,,,,,,,,,,,
4/25/2011,agnes - won - alive,valkyrie - won,,,unknown - won - alive,gregor,fu-ka,,,ellen,,,,,,,wight - won - alive,bob - alive,,,
4/26/2011,,ultra soul,charles,,george - won,wight,,,franklin - won,fu-ka - won - alive,,,,,,,catherine - won - alive,valkyrie,,,
4/27/2011,,george - won - alive,,,,wight,,,franklin - won,valkyrie,,,,,ultra soul,bob,,,ellen - won,catherine,
4/27/2011,,,fu-ka,,,,franklin,,valkyrie - won - alive,,vampire - won - alive,,ultra soul,,charles,,,,,allie - won - alive,ellen
4/27/2011,ellen,werewolf - alive - won,agnes - won - alive,,fu-ka,,gregor,ultra soul - won - alive,,valkyrie - won - alive,,,,,,,,allie - won - alive,,,
4/28/2011,bob,gregor,catherine,,,ellen,allie,,,,,,,,,,,,,,
4/28/2011,vengeful,ginger - won - alive,unseen,,oconnell won,,,witch,evan - won - alive,belladonna - alive,,,,,,,cassandra,,,,
4/29/2011,,allie - won - alive,,,,,,agnes - won - alive,emi,wight - won - alive,,,,,,ultra soul - won - alive,catherine,gregor,,,
